X,Y
0.0,0.4825242122103749
1.0,0.7515147061630795
2.0,1.1073207983298605
3.0,1.5435724943903306
4.0,2.0356270128747354
5.0,2.5397266722940164
6.0,2.9977358033558086
7.0,3.3474749074832073
8.0,3.5363798385866207
9.0,3.534419397908646
10.0,3.3419108404461273
11.0,2.9894358543763726
12.0,2.529887632291207
13.0,2.025493656169593
14.0,1.534187527727841
15.0,1.0993730956001708
16.0,0.7453095797457236
17.0,0.4780594809105573
18.0,0.29021613893186066
19.0,0.16701094873824382
20.0,0.0918120500544186
21.0,0.04997975490914706
22.0,0.030995141486477633
23.0,0.029379313399938524
24.0,0.04507984475906367
25.0,0.0837990755078998
26.0,0.1573192910633046
27.0,0.2833923174104262
28.0,0.4843733431862456
29.0,0.7836986936228176
30.0,1.199743580217929
31.0,1.7376252158997731
32.0,2.3809132900316854
33.0,3.086377862498058
34.0,3.7850559426470514
35.0,4.391502446425901
36.0,4.8202721556579755
37.0,5.00550144453457
38.0,4.917464384009129
39.0,4.570381525740155
40.0,4.018660224324286
41.0,3.3429333778660704
42.0,2.6308237571418416
43.0,1.9587246501326867
44.0,1.3796617469983266
45.0,0.9193681570663899
46.0,0.5795940153569913
47.0,0.3456813327704675
48.0,0.1950498242798349
49.0,0.10411967410769772
50.0,0.05258206568627873
51.0,0.025122343060892005
52.0,0.01135535529998181
53.0,0.004855827272971553
54.0,0.0019646338482725593
55.0,0.0007525879287878537
56.0,0.0002746326240615515
57.0,0.00010056663257853996
58.0,5.130577444849101e-05
59.0,6.686009614068579e-05
60.0,0.00015182208637660156
61.0,0.00036705258565157355
62.0,0.0008544689778968411
63.0,0.0018937585814849678
64.0,0.003996142128227683
65.0,0.008042160740928063
66.0,0.015469301992699969
67.0,0.028512778166843118
68.0,0.05049910963118029
69.0,0.0861821559046947
70.0,0.14208082425764093
71.0,0.2267076104984048
72.0,0.35046074612334754
73.0,0.5248259700136568
74.0,0.7604970865675218
75.0,1.0642209843960524
76.0,1.4347021312470398
77.0,1.8586917780935388
78.0,2.3091154595520864
79.0,2.7472595457425277
80.0,3.1302246107077187
81.0,3.423044310112064
82.0,3.6126162010862286
83.0,3.7188556612478743
84.0,3.7981863390227777
85.0,3.936028766656791
86.0,4.228029532873453
87.0,4.7534938877124375
88.0,5.547705858085232
89.0,6.58145914362809
90.0,7.755369173903246
91.0,8.913104843180756
92.0,9.872140228005382
93.0,10.464606322487784
94.0,10.576655447345896
95.0,10.174484866413819
96.0,9.309361231476437
97.0,8.1011321034147
98.0,6.706812182377894
99.0,5.284940212286429
100.0,3.9661313783339667
101.0,2.836342759645739
102.0,1.9340428954434323
103.0,1.2580887775244844
104.0,0.7810359274856566
105.0,0.4628749971872418
106.0,0.261903086201549
107.0,0.14147560880093943
108.0,0.07294514104146803
109.0,0.03588648244990227
110.0,0.016837490509984572
111.0,0.0075298650559902204
112.0,0.0032076342814907287
113.0,0.0013007125287379095
114.0,0.0005017487962823644
115.0,0.0001840014911377199
116.0,6.411628821029337e-05
117.0,2.1246905100872813e-05
118.0,6.810322176473911e-06
119.0,2.5462735904902794e-06
120.0,2.5393274835799167e-06
121.0,6.732080749866362e-06
122.0,2.074695661831987e-05
123.0,6.164996137514212e-05
124.0,0.0001735828696543377
125.0,0.0004624447377951881
126.0,0.0011655877075233908
127.0,0.0027794758017819386
128.0,0.006270761108770913
129.0,0.013385270622559661
130.0,0.02703326252502159
131.0,0.051660183757773454
132.0,0.09341819736553343
133.0,0.159871736678546
134.0,0.25896716588800545
135.0,0.3971457466843852
136.0,0.5768090058504585
137.0,0.7937816154228314
138.0,1.035762585372196
139.0,1.2827579913838174
140.0,1.509986132882724
141.0,1.6928245178534937
142.0,1.8124027906501141
143.0,1.8599517195801485
144.0,1.8383545019090366
145.0,1.7604522679878545
146.0,1.6450185490465759
147.0,1.5122356140915054
148.0,1.380496455016978
149.0,1.2654466374904392
150.0,1.180883291624571
151.0,1.1401314175252846
152.0,1.156298368803703
153.0,1.2404197016699017
154.0,1.3976278402664075
155.0,1.622604490208607
156.0,1.8962669945300081
157.0,2.1856019665199007
158.0,2.4477305458328837
159.0,2.637863185752388
160.0,2.719245150167914
161.0,2.6721436672994217
162.0,2.498928919950819
163.0,2.2234898104679592
164.0,1.885172942932565
165.0,1.5293102493663222
166.0,1.197403689393135
